Effective To Date,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Claim Reason,Sales Channel,Vehicle Class,Vehicle Size
20,40639,67,21,77,0,2,Iowa,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Other,Branch,Four-Door Car,Medsize
27,36568,128,28,34,0,6,Missouri,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
27,11167,73,0,99,3,1,Oklahoma,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Medsize
3,0,101,16,88,0,8,Iowa,No,Premium,High School or Below,Unemployed,M,Suburban,Divorced,Corporate Auto,Corporate L3,Scratch/Dent,Web,Four-Door Car,Medsize
53,22668,67,5,34,1,2,Missouri,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L2,Scratch/Dent,Branch,Four-Door Car,Medsize
58,42557,65,4,35,0,1,Kansas,No,Basic,Master,Employed,M,Rural,Single,Personal Auto,Personal L3,Other,Agent,Four-Door Car,Large
20,24188,109,14,82,0,1,Nebraska,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,Sports Car,Medsize
3,20954,78,15,27,0,1,Kansas,No,Extended,College,Employed,F,Suburban,Married,Special Auto,Special L1,Hail,Agent,Four-Door Car,Medsize
5,32224,72,27,21,0,3,Iowa,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L2,Collision,Branch,Four-Door Car,Medsize
43,95647,106,11,30,0,1,Iowa,No,Premium,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L2,Collision,Agent,Two-Door Car,Medsize
50,73976,73,27,84,0,3,Missouri,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Medsize
48,83283,193,11,46,1,3,Nebraska,No,Basic,College,Employed,M,Rural,Single,Personal Auto,Personal L2,Scratch/Dent,Branch,Luxury Car,Medsize
44,42513,133,0,44,0,3,Missouri,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Collision,Agent,Sports Car,Small
32,61894,67,22,38,0,4,Iowa,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Personal L3,Scratch/Dent,Branch,Four-Door Car,Small
0,61246,110,24,21,0,3,Iowa,No,Basic,Doctor,Employed,M,Rural,Married,Personal Auto,Personal L2,Hail,Branch,Sports Car,Medsize
51,72919,130,20,22,5,1,Iowa,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Other,Agent,SUV,Small
52,0,110,16,17,0,5,Iowa,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,Special L2,Hail,Agent,Sports Car,Medsize
7,39161,71,8,84,3,1,Missouri,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Medsize
24,31756,107,1,97,0,3,Iowa,No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Collision,Agent,SUV,Medsize
30,25714,67,17,57,0,5,Missouri,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Hail,Agent,Two-Door Car,Small
8,26526,99,0,86,0,3,Iowa,No,Extended,High School or Below,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Collision,Call Center,Four-Door Car,Medsize
36,0,194,13,83,0,3,Iowa,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Scratch/Dent,Web,Luxury SUV,Small
14,85019,167,26,92,0,1,Missouri,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Agent,Sports Car,Medsize
11,0,61,30,35,0,3,Missouri,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Scratch/Dent,Agent,Two-Door Car,Medsize
50,21070,195,6,47,0,2,Missouri,No,Premium,College,Disabled,M,Suburban,Divorced,Corporate Auto,Corporate L3,Collision,Call Center,Sports Car,Small
38,85140,118,7,11,4,1,Oklahoma,No,Basic,Master,Employed,F,Rural,Single,Personal Auto,Personal L3,Collision,Branch,SUV,Medsize
58,44743,137,16,55,4,1,Nebraska,No,Extended,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Collision,Branch,SUV,Small
24,23665,67,19,50,0,2,Missouri,Yes,Basic,Bachelor,Retired,M,Suburban,Married,Personal Auto,Personal L2,Collision,Branch,Four-Door Car,Medsize
5,0,64,32,89,1,3,Iowa,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Small
40,20532,67,20,68,0,2,Missouri,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Collision,Branch,Four-Door Car,Large
3,19121,95,1,18,0,1,Missouri,No,Extended,College,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Hail,Agent,Four-Door Car,Small
0,21861,69,3,11,0,1,Missouri,No,Basic,High School or Below,Retired,F,Suburban,Married,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
19,0,107,21,65,0,1,Nebraska,No,Premium,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
14,25905,63,21,12,0,1,Iowa,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Large
25,69906,74,34,32,2,2,Nebraska,No,Basic,College,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Hail,Branch,Four-Door Car,Medsize
12,26100,67,6,29,0,1,Iowa,No,Basic,High School or Below,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
37,74960,69,11,44,1,3,Oklahoma,No,Basic,Master,Employed,M,Rural,Single,Corporate Auto,Corporate L1,Collision,Call Center,Four-Door Car,Medsize
10,0,107,3,65,0,3,Nebraska,Yes,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Collision,Agent,SUV,Medsize
17,46897,70,16,47,0,3,Iowa,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Other,Branch,Four-Door Car,Small
51,53058,91,16,44,4,3,Missouri,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
58,65773,89,24,35,4,1,Iowa,No,Extended,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Hail,Call Center,Four-Door Car,Medsize
29,34398,61,10,18,1,2,Nebraska,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Two-Door Car,Small
48,61809,72,9,21,0,1,Missouri,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L2,Scratch/Dent,Agent,Two-Door Car,Medsize
48,0,114,12,43,0,1,Nebraska,No,Premium,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Other,Branch,Two-Door Car,Medsize
40,99443,117,6,6,4,5,Missouri,No,Basic,Doctor,Employed,M,Rural,Married,Personal Auto,Personal L2,Scratch/Dent,Branch,SUV,Medsize
44,33566,63,25,56,1,4,Missouri,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Personal L3,Collision,Call Center,Four-Door Car,Medsize
44,49308,65,7,97,0,1,Nebraska,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Scratch/Dent,Agent,Four-Door Car,Medsize
6,0,100,9,75,0,2,Nebraska,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Other,Web,SUV,Medsize
18,59311,69,8,38,0,9,Missouri,No,Basic,Doctor,Employed,M,Rural,Divorced,Corporate Auto,Corporate L3,Collision,Web,Four-Door Car,Medsize
1,98473,72,19,69,0,1,Missouri,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L1,Hail,Branch,Four-Door Car,Medsize
28,0,72,6,13,2,7,Missouri,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Medsize
16,60817,103,3,79,1,1,Oklahoma,No,Premium,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Medsize
46,48885,190,31,90,0,9,Missouri,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Web,Luxury Car,Medsize
2,43324,101,8,17,0,2,Missouri,No,Premium,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L1,Hail,Branch,Two-Door Car,Medsize
50,0,131,15,90,0,8,Missouri,No,Extended,Master,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Scratch/Dent,Branch,Sports Car,Large
32,74730,61,18,84,0,6,Nebraska,No,Basic,College,Employed,M,Suburban,Single,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Small
7,33799,74,8,47,1,3,Kansas,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Agent,Four-Door Car,Medsize
54,62488,62,35,47,2,1,Missouri,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Personal L3,Hail,Call Center,Four-Door Car,Medsize
18,42406,77,15,49,0,1,Iowa,No,Extended,High School or Below,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Other,Call Center,Four-Door Car,Medsize
29,36032,70,11,39,0,2,Kansas,No,Basic,College,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Scratch/Dent,Web,Four-Door Car,Small
19,0,116,6,63,0,1,Iowa,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Collision,Agent,SUV,Medsize
5,24964,185,0,84,0,2,Nebraska,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Hail,Agent,SUV,Medsize
54,31686,101,14,45,2,8,Iowa,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Collision,Web,SUV,Medsize
36,88592,76,19,1,0,2,Kansas,No,Extended,College,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Large
11,23589,211,30,13,0,6,Missouri,No,Extended,Bachelor,Employed,M,Suburban,Married,Special Auto,Special L2,Hail,Agent,Luxury SUV,Small
50,97729,95,18,21,0,1,Missouri,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
37,90751,82,2,22,1,8,Iowa,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Personal L2,Collision,Agent,Two-Door Car,Medsize
38,23031,148,26,76,0,2,Iowa,No,Premium,High School or Below,Employed,F,Suburban,Married,Special Auto,Special L3,Other,Web,SUV,Medsize
12,0,137,25,45,0,1,Oklahoma,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Hail,Branch,SUV,Small
0,24409,62,4,13,0,1,Iowa,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Other,Agent,Four-Door Car,Small
32,48409,124,13,60,0,2,Missouri,No,Extended,High School or Below,Employed,F,Urban,Single,Special Auto,Special L3,Collision,Agent,SUV,Medsize
37,57693,76,16,56,0,3,Oklahoma,Yes,Extended,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Hail,Agent,Four-Door Car,Medsize
20,0,97,26,25,0,3,Iowa,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Collision,Agent,Two-Door Car,Small
33,26308,114,10,30,0,3,Missouri,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Scratch/Dent,Web,SUV,Medsize
24,97321,110,35,46,0,1,Missouri,No,Premium,College,Employed,M,Rural,Single,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
40,46503,215,4,21,1,1,Nebraska,Yes,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Collision,Agent,Luxury SUV,Medsize
27,0,72,2,12,0,9,Oklahoma,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L1,Scratch/Dent,Call Center,Four-Door Car,Medsize
2,0,101,10,48,0,2,Missouri,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
28,0,92,33,41,1,1,Missouri,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Collision,Agent,Two-Door Car,Medsize
3,0,126,16,69,0,8,Iowa,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Collision,Branch,SUV,Small
9,0,72,28,29,0,1,Nebraska,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Two-Door Car,Medsize
3,20123,63,7,47,0,3,Missouri,No,Basic,Doctor,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Hail,Call Center,Four-Door Car,Medsize
26,0,104,29,7,0,2,Kansas,No,Premium,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L1,Hail,Branch,Two-Door Car,Small
16,14209,62,34,36,0,2,Missouri,No,Basic,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Web,Four-Door Car,Medsize
34,0,108,2,55,1,1,Nebraska,No,Premium,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Large
28,0,61,9,16,1,1,Nebraska,No,Basic,College,Unemployed,M,Suburban,Single,Special Auto,Special L2,Collision,Agent,Four-Door Car,Medsize
42,77058,63,16,42,0,2,Missouri,No,Basic,High School or Below,Employed,F,Rural,Divorced,Personal Auto,Personal L1,Hail,Branch,Four-Door Car,Medsize
40,70082,119,17,23,0,1,Missouri,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Collision,Web,SUV,Small
24,72859,61,6,5,0,9,Iowa,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Scratch/Dent,Agent,Two-Door Car,Medsize
6,0,113,34,5,0,8,Missouri,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Collision,Call Center,SUV,Medsize
10,27558,65,18,48,0,2,Missouri,No,Basic,High School or Below,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
34,51944,156,12,96,0,1,Nebraska,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Collision,Agent,Sports Car,Medsize
10,86305,62,1,99,0,5,Missouri,Yes,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L2,Hail,Call Center,Four-Door Car,Medsize
57,65083,77,30,68,0,1,Kansas,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Medsize
30,52443,73,0,47,1,4,Missouri,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Hail,Agent,Four-Door Car,Medsize
47,17103,87,24,29,0,2,Iowa,No,Extended,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Collision,Branch,Two-Door Car,Small
27,0,82,29,23,1,2,Missouri,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Scratch/Dent,Call Center,Four-Door Car,Large
5,0,97,19,18,0,1,Nebraska,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Small
43,28204,73,6,12,0,1,Iowa,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Medsize
45,0,116,7,73,1,7,Missouri,No,Premium,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Large
57,76283,61,9,99,0,6,Nebraska,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Hail,Agent,Four-Door Car,Medsize
6,25630,86,8,63,0,1,Iowa,No,Extended,College,Medical Leave,M,Suburban,Single,Corporate Auto,Corporate L3,Other,Agent,Two-Door Car,Medsize
18,88233,88,32,22,0,2,Missouri,No,Extended,College,Employed,M,Urban,Single,Personal Auto,Personal L1,Scratch/Dent,Call Center,Four-Door Car,Medsize
56,0,67,6,60,1,1,Iowa,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Other,Branch,Four-Door Car,Large
22,0,61,17,14,1,1,Oklahoma,No,Basic,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Personal L3,Other,Web,Two-Door Car,Medsize
54,33514,105,33,2,0,2,Nebraska,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Personal L2,Collision,Branch,Sports Car,Medsize
45,66726,97,3,60,1,7,Iowa,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L2,Hail,Call Center,Two-Door Car,Medsize
42,0,69,2,55,0,1,Missouri,No,Basic,College,Unemployed,M,Rural,Married,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Medsize
52,0,66,16,35,4,1,Kansas,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Small
14,78494,69,21,53,0,2,Kansas,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Medsize
55,35456,109,14,58,0,6,Iowa,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L1,Scratch/Dent,Agent,Sports Car,Medsize
7,0,107,22,96,0,4,Nebraska,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Other,Web,SUV,Medsize
2,45754,69,34,88,0,1,Nebraska,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Medsize
17,0,124,23,30,0,7,Missouri,No,Extended,College,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Collision,Branch,SUV,Small
45,49530,63,8,64,0,2,Nebraska,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L1,Hail,Web,Four-Door Car,Medsize
52,0,117,24,8,1,6,Iowa,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Hail,Agent,Sports Car,Medsize
21,39034,68,10,55,0,2,Iowa,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Small
24,53305,63,32,73,0,4,Nebraska,No,Basic,Bachelor,Employed,M,Suburban,Single,Corporate Auto,Corporate L2,Collision,Call Center,Two-Door Car,Small
51,98784,124,7,36,1,1,Iowa,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Hail,Web,Sports Car,Medsize
57,0,68,24,73,0,1,Iowa,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Medsize
45,91890,107,30,28,0,7,Missouri,No,Basic,Doctor,Employed,M,Rural,Married,Personal Auto,Personal L2,Scratch/Dent,Agent,SUV,Small
19,0,74,24,33,0,1,Iowa,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Collision,Agent,Two-Door Car,Small
17,0,96,16,43,0,7,Iowa,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Small
29,0,102,35,48,0,2,Iowa,Yes,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Collision,Branch,SUV,Medsize
30,96443,102,1,17,0,1,Missouri,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Other,Branch,SUV,Medsize
17,0,106,20,51,0,1,Missouri,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Scratch/Dent,Agent,SUV,Medsize
38,0,189,24,93,0,6,Nebraska,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Collision,Agent,Luxury Car,Small
58,21706,108,19,28,0,3,Iowa,No,Basic,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
11,23815,73,4,47,0,2,Kansas,Yes,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Hail,Call Center,Four-Door Car,Medsize
12,90217,66,14,88,1,5,Iowa,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L1,Other,Web,Four-Door Car,Small
51,57031,104,16,10,1,1,Nebraska,No,Premium,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Medsize
6,31485,118,17,79,0,6,Iowa,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L2,Hail,Agent,SUV,Medsize
0,37520,74,21,30,0,2,Kansas,No,Basic,Master,Employed,F,Rural,Married,Special Auto,Special L3,Collision,Agent,Two-Door Car,Medsize
48,69024,61,27,32,5,1,Iowa,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Medsize
29,99316,114,26,53,0,1,Missouri,No,Basic,College,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Hail,Branch,SUV,Medsize
