Customer,Country,State Code,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
SA62385,US,IA,Iowa,No,Extended,High School or Below,01/09/2011,Medical Leave,F,26526,Suburban,Married,99,0,86,0,3,Personal Auto,Personal L3,Collision,Call Center,523.701824,Four-Door Car,Medsize
UM83813,US,IA,Iowa,No,Basic,Bachelor,02/06/2011,Unemployed,F,0,Suburban,Single,194,13,83,0,3,Personal Auto,Personal L1,Scratch/Dent,Web,1396.8,Luxury SUV,Small
IA96447,US,MO,Missouri,No,Premium,College,1/15/11,Employed,M,85019,Suburban,Married,167,26,92,0,1,Personal Auto,Personal L3,Hail,Agent,801.6,Sports Car,Medsize
QR15857,US,MO,Missouri,No,Basic,College,01/12/2011,Unemployed,F,0,Suburban,Single,61,30,35,0,3,Personal Auto,Personal L3,Scratch/Dent,Agent,292.8,Two-Door Car,Medsize
AK72422,US,MO,Missouri,No,Premium,College,2/20/11,Disabled,M,21070,Suburban,Divorced,195,6,47,0,2,Corporate Auto,Corporate L3,Collision,Call Center,1404.0,Sports Car,Small
QN36109,US,OK,Oklahoma,No,Basic,Master,02/08/2011,Employed,F,85140,Rural,Single,118,7,11,4,1,Personal Auto,Personal L3,Collision,Branch,88.17994,SUV,Medsize
LY17372,US,NE,Nebraska,No,Extended,College,2/28/11,Employed,M,44743,Suburban,Divorced,137,16,55,4,1,Personal Auto,Personal L3,Collision,Branch,741.300032,SUV,Small
JA93297,US,MO,Missouri,Yes,Basic,Bachelor,1/25/11,Retired,M,23665,Suburban,Married,67,19,50,0,2,Personal Auto,Personal L2,Collision,Branch,404.817249,Four-Door Car,Medsize
PD32943,US,IA,Iowa,No,Basic,Bachelor,01/06/2011,Unemployed,M,0,Suburban,Married,64,32,89,1,3,Personal Auto,Personal L3,Hail,Branch,307.2,Four-Door Car,Small
DW37404,US,MO,Missouri,No,Basic,Bachelor,02/10/2011,Employed,F,20532,Urban,Divorced,67,20,68,0,2,Personal Auto,Personal L2,Collision,Branch,282.65749900000003,Four-Door Car,Large
XI14610,US,MO,Missouri,No,Extended,College,01/04/2011,Medical Leave,F,19121,Suburban,Married,95,1,18,0,1,Personal Auto,Personal L2,Hail,Agent,915.1886470000001,Four-Door Car,Small
JO13576,US,MO,Missouri,No,Basic,High School or Below,01/01/2011,Retired,F,21861,Suburban,Married,69,3,11,0,1,Personal Auto,Personal L3,Hail,Agent,348.278032,Four-Door Car,Medsize
QH51455,US,NE,Nebraska,No,Premium,College,1/20/11,Unemployed,M,0,Suburban,Married,107,21,65,0,1,Personal Auto,Personal L3,Hail,Agent,513.6,Four-Door Car,Medsize
RD15786,US,IA,Iowa,Yes,Basic,Bachelor,1/15/11,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Personal Auto,Personal L3,Collision,Agent,302.4,Four-Door Car,Large
QL59704,US,NE,Nebraska,No,Basic,College,1/26/11,Employed,F,69906,Urban,Married,74,34,32,2,2,Corporate Auto,Corporate L3,Hail,Branch,202.860399,Four-Door Car,Medsize
HV62406,US,IA,Iowa,No,Basic,High School or Below,1/13/11,Disabled,F,26100,Suburban,Single,67,6,29,0,1,Personal Auto,Personal L3,Collision,Agent,482.4,Four-Door Car,Medsize
PC12390,US,OK,Oklahoma,No,Basic,Master,02/07/2011,Employed,M,74960,Rural,Single,69,11,44,1,3,Corporate Auto,Corporate L1,Collision,Call Center,107.985836,Four-Door Car,Medsize
ZS50183,US,NE,Nebraska,Yes,Basic,College,01/11/2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Corporate Auto,Corporate L3,Collision,Agent,513.6,SUV,Medsize
BQ41371,US,IA,Iowa,No,Basic,Bachelor,1/18/11,Employed,F,46897,Suburban,Married,70,16,47,0,3,Personal Auto,Personal L2,Other,Branch,344.377218,Four-Door Car,Small
MS20849,US,MO,Missouri,No,Extended,College,2/21/11,Employed,M,53058,Rural,Married,91,16,44,4,3,Personal Auto,Personal L2,Collision,Agent,209.465295,Four-Door Car,Medsize
HW19141,US,IA,Iowa,No,Extended,Bachelor,2/28/11,Employed,F,65773,Urban,Married,89,24,35,4,1,Corporate Auto,Corporate L2,Hail,Call Center,245.308491,Four-Door Car,Medsize
QV11152,US,NE,Nebraska,No,Basic,High School or Below,1/30/11,Employed,M,34398,Suburban,Married,61,10,18,1,2,Personal Auto,Personal L3,Scratch/Dent,Agent,292.8,Two-Door Car,Small
WK65741,US,MO,Missouri,No,Basic,High School or Below,2/18/11,Employed,F,61809,Urban,Married,72,9,21,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,328.00485499999996,Two-Door Car,Medsize
QK31192,US,NE,Nebraska,No,Premium,High School or Below,2/18/11,Unemployed,M,0,Suburban,Married,114,12,43,0,1,Corporate Auto,Corporate L2,Other,Branch,631.124372,Two-Door Car,Medsize
CA96230,US,MO,Missouri,No,Basic,Doctor,02/10/2011,Employed,M,99443,Rural,Married,117,6,6,4,5,Personal Auto,Personal L2,Scratch/Dent,Branch,228.04942400000002,SUV,Medsize
GG70928,US,MO,Missouri,No,Basic,Master,2/14/11,Employed,F,33566,Urban,Married,63,25,56,1,4,Personal Auto,Personal L3,Collision,Call Center,205.043307,Four-Door Car,Medsize
WV53081,US,NE,Nebraska,No,Basic,College,2/14/11,Employed,F,49308,Rural,Married,65,7,97,0,1,Corporate Auto,Corporate L1,Scratch/Dent,Agent,150.235884,Four-Door Car,Medsize
TC81636,US,NE,Nebraska,No,Basic,High School or Below,01/07/2011,Unemployed,M,0,Suburban,Single,100,9,75,0,2,Corporate Auto,Corporate L3,Other,Web,720.0,SUV,Medsize
ZB40259,US,MO,Missouri,No,Basic,Doctor,1/19/11,Employed,M,59311,Rural,Divorced,69,8,38,0,9,Corporate Auto,Corporate L3,Collision,Web,14.812807999999999,Four-Door Car,Medsize
CO44221,US,MO,Missouri,No,Basic,College,01/02/2011,Employed,M,98473,Suburban,Married,72,19,69,0,1,Personal Auto,Personal L1,Hail,Branch,345.6,Four-Door Car,Medsize
DX28320,US,MO,Missouri,No,Basic,High School or Below,1/29/11,Unemployed,F,0,Suburban,Single,72,6,13,2,7,Personal Auto,Personal L3,Collision,Branch,594.6837519999999,Four-Door Car,Medsize
AA69265,US,OK,Oklahoma,No,Premium,Bachelor,1/17/11,Employed,F,60817,Suburban,Single,103,3,79,1,1,Personal Auto,Personal L2,Hail,Web,494.4,Four-Door Car,Medsize
VF35858,US,MO,Missouri,No,Basic,Bachelor,2/16/11,Employed,M,48885,Suburban,Married,190,31,90,0,9,Personal Auto,Personal L3,Scratch/Dent,Web,1090.122048,Luxury Car,Medsize
NT15165,US,MO,Missouri,No,Premium,Bachelor,01/03/2011,Employed,F,43324,Urban,Married,101,8,17,0,2,Corporate Auto,Corporate L1,Hail,Branch,284.667612,Two-Door Car,Medsize
JU66696,US,MO,Missouri,No,Extended,Master,2/20/11,Unemployed,F,0,Suburban,Married,131,15,90,0,8,Corporate Auto,Corporate L2,Scratch/Dent,Branch,628.8,Sports Car,Large
TF77410,US,NE,Nebraska,No,Basic,College,02/02/2011,Employed,M,74730,Suburban,Single,61,18,84,0,6,Personal Auto,Personal L3,Hail,Branch,421.235276,Four-Door Car,Small
YK36937,US,KS,Kansas,No,Basic,College,01/08/2011,Employed,M,33799,Suburban,Married,74,8,47,1,3,Personal Auto,Personal L3,Scratch/Dent,Agent,355.2,Four-Door Car,Medsize
VO43359,US,MO,Missouri,No,Basic,High School or Below,2/24/11,Employed,M,62488,Urban,Married,62,35,47,2,1,Personal Auto,Personal L3,Hail,Call Center,200.689331,Four-Door Car,Medsize
SU44811,US,IA,Iowa,No,Extended,High School or Below,1/19/11,Employed,F,42406,Rural,Married,77,15,49,0,1,Corporate Auto,Corporate L3,Other,Call Center,108.871857,Four-Door Car,Medsize
ZB84321,US,KS,Kansas,No,Basic,College,1/30/11,Employed,F,36032,Suburban,Divorced,70,11,39,0,2,Personal Auto,Personal L3,Scratch/Dent,Web,336.0,Four-Door Car,Small
EG40823,US,IA,Iowa,No,Basic,Bachelor,1/20/11,Unemployed,F,0,Suburban,Married,116,6,63,0,1,Personal Auto,Personal L2,Collision,Agent,765.566699,SUV,Medsize
EN65835,US,NE,Nebraska,No,Premium,Bachelor,01/06/2011,Employed,F,24964,Suburban,Married,185,0,84,0,2,Personal Auto,Personal L2,Hail,Agent,888.0,SUV,Medsize
HJ57617,US,IA,Iowa,No,Basic,Bachelor,2/24/11,Employed,M,31686,Suburban,Married,101,14,45,2,8,Corporate Auto,Corporate L1,Collision,Web,710.661746,SUV,Medsize
PE39479,US,KS,Kansas,No,Extended,College,02/06/2011,Employed,M,88592,Urban,Married,76,19,1,0,2,Corporate Auto,Corporate L3,Collision,Branch,199.79727,Four-Door Car,Large
MJ95558,US,MO,Missouri,No,Extended,Bachelor,01/12/2011,Employed,M,23589,Suburban,Married,211,30,13,0,6,Special Auto,Special L2,Hail,Agent,1012.8,Luxury SUV,Small
ZR77995,US,MO,Missouri,No,Extended,College,2/20/11,Employed,M,97729,Rural,Married,95,18,21,0,1,Personal Auto,Personal L3,Hail,Web,97.176153,Four-Door Car,Medsize
ZU88113,US,IA,Iowa,No,Extended,College,02/07/2011,Employed,M,90751,Urban,Married,82,2,22,1,8,Personal Auto,Personal L2,Collision,Agent,315.82638199999997,Two-Door Car,Medsize
BC53363,US,IA,Iowa,No,Premium,High School or Below,02/08/2011,Employed,F,23031,Suburban,Married,148,26,76,0,2,Special Auto,Special L3,Other,Web,710.4,SUV,Medsize
JF57282,US,OK,Oklahoma,No,Extended,Bachelor,1/13/11,Unemployed,M,0,Suburban,Married,137,25,45,0,1,Personal Auto,Personal L2,Hail,Branch,657.6,SUV,Small
WE19034,US,IA,Iowa,No,Basic,College,01/01/2011,Employed,M,24409,Suburban,Married,62,4,13,0,1,Corporate Auto,Corporate L2,Other,Agent,297.6,Four-Door Car,Small
GW14109,US,MO,Missouri,No,Extended,High School or Below,02/02/2011,Employed,F,48409,Urban,Single,124,13,60,0,2,Special Auto,Special L3,Collision,Agent,345.211703,SUV,Medsize
QV89210,US,OK,Oklahoma,Yes,Extended,High School or Below,02/07/2011,Employed,F,57693,Suburban,Divorced,76,16,56,0,3,Corporate Auto,Corporate L3,Hail,Agent,547.2,Four-Door Car,Medsize
WJ38827,US,IA,Iowa,No,Extended,High School or Below,1/21/11,Unemployed,M,0,Suburban,Married,97,26,25,0,3,Corporate Auto,Corporate L2,Collision,Agent,498.77943899999997,Two-Door Car,Small
HM76207,US,MO,Missouri,No,Basic,College,02/03/2011,Employed,F,26308,Suburban,Married,114,10,30,0,3,Corporate Auto,Corporate L3,Scratch/Dent,Web,547.2,SUV,Medsize
CV75841,US,MO,Missouri,No,Premium,College,1/25/11,Employed,M,97321,Rural,Single,110,35,46,0,1,Personal Auto,Personal L2,Collision,Agent,74.74464300000001,Four-Door Car,Medsize
KC26486,US,NE,Nebraska,Yes,Extended,Bachelor,02/10/2011,Employed,F,46503,Suburban,Divorced,215,4,21,1,1,Personal Auto,Personal L2,Collision,Agent,1032.0,Luxury SUV,Medsize
TW46585,US,OK,Oklahoma,No,Basic,Bachelor,1/28/11,Unemployed,M,0,Suburban,Single,72,2,12,0,9,Corporate Auto,Corporate L1,Scratch/Dent,Call Center,345.6,Four-Door Car,Medsize
BB48165,US,MO,Missouri,No,Basic,Bachelor,01/03/2011,Unemployed,F,0,Suburban,Single,101,10,48,0,2,Personal Auto,Personal L3,Collision,Agent,727.2,SUV,Medsize
LM84166,US,MO,Missouri,No,Extended,Bachelor,1/29/11,Unemployed,M,0,Suburban,Single,92,33,41,1,1,Personal Auto,Personal L1,Collision,Agent,662.4,Two-Door Car,Medsize
OQ10108,US,IA,Iowa,No,Extended,High School or Below,01/04/2011,Unemployed,M,0,Suburban,Married,126,16,69,0,8,Personal Auto,Personal L2,Collision,Branch,604.8,SUV,Small
ZY77695,US,NE,Nebraska,No,Basic,Bachelor,01/10/2011,Unemployed,M,0,Suburban,Single,72,28,29,0,1,Personal Auto,Personal L3,Collision,Agent,345.6,Two-Door Car,Medsize
UF81905,US,MO,Missouri,No,Basic,Doctor,01/04/2011,Disabled,F,20123,Suburban,Married,63,7,47,0,3,Personal Auto,Personal L1,Hail,Call Center,302.4,Four-Door Car,Medsize
MS59254,US,KS,Kansas,No,Premium,High School or Below,1/27/11,Unemployed,M,0,Suburban,Married,104,29,7,0,2,Corporate Auto,Corporate L1,Hail,Branch,773.3460650000001,Two-Door Car,Small
LG87047,US,MO,Missouri,No,Basic,High School or Below,1/17/11,Disabled,M,14209,Suburban,Married,62,34,36,0,2,Personal Auto,Personal L3,Scratch/Dent,Web,297.6,Four-Door Car,Medsize
DW14769,US,NE,Nebraska,No,Premium,High School or Below,02/04/2011,Unemployed,F,0,Suburban,Married,108,2,55,1,1,Personal Auto,Personal L3,Scratch/Dent,Branch,525.392239,Two-Door Car,Large
RW65977,US,NE,Nebraska,No,Basic,College,1/29/11,Unemployed,M,0,Suburban,Single,61,9,16,1,1,Special Auto,Special L2,Collision,Agent,439.2,Four-Door Car,Medsize
WE13528,US,MO,Missouri,No,Basic,High School or Below,02/12/2011,Employed,F,77058,Rural,Divorced,63,16,42,0,2,Personal Auto,Personal L1,Hail,Branch,119.33104099999998,Four-Door Car,Medsize
CF40646,US,MO,Missouri,No,Basic,College,02/10/2011,Employed,M,70082,Suburban,Married,119,17,23,0,1,Personal Auto,Personal L2,Collision,Web,571.2,SUV,Small
FA39525,US,IA,Iowa,No,Basic,High School or Below,1/25/11,Employed,M,72859,Rural,Divorced,61,6,5,0,9,Personal Auto,Personal L3,Scratch/Dent,Agent,49.961073999999996,Two-Door Car,Medsize
BX94438,US,MO,Missouri,No,Basic,High School or Below,01/07/2011,Unemployed,F,0,Suburban,Married,113,34,5,0,8,Corporate Auto,Corporate L2,Collision,Call Center,619.973889,SUV,Medsize
RE29039,US,MO,Missouri,No,Basic,High School or Below,01/11/2011,Medical Leave,F,27558,Suburban,Married,65,18,48,0,2,Personal Auto,Personal L3,Collision,Agent,312.0,Four-Door Car,Medsize
US63915,US,NE,Nebraska,No,Premium,High School or Below,02/04/2011,Employed,M,51944,Suburban,Married,156,12,96,0,1,Corporate Auto,Corporate L3,Collision,Agent,748.8,Sports Car,Medsize
EC28314,US,MO,Missouri,Yes,Basic,Bachelor,01/11/2011,Employed,M,86305,Rural,Married,62,1,99,0,5,Personal Auto,Personal L2,Hail,Call Center,80.73124,Four-Door Car,Medsize
TL18087,US,KS,Kansas,No,Extended,Bachelor,2/27/11,Employed,M,65083,Suburban,Married,77,30,68,0,1,Personal Auto,Personal L2,Hail,Web,369.6,Four-Door Car,Medsize
OZ86942,US,MO,Missouri,No,Basic,Bachelor,1/31/11,Employed,F,52443,Suburban,Married,73,0,47,1,4,Corporate Auto,Corporate L3,Hail,Agent,350.4,Four-Door Car,Medsize
CA47176,US,IA,Iowa,No,Extended,Bachelor,2/17/11,Disabled,M,17103,Suburban,Married,87,24,29,0,2,Personal Auto,Personal L3,Collision,Branch,417.6,Two-Door Car,Small
FF61670,US,MO,Missouri,No,Extended,High School or Below,1/28/11,Unemployed,M,0,Suburban,Single,82,29,23,1,2,Personal Auto,Personal L2,Scratch/Dent,Call Center,393.6,Four-Door Car,Large
XB61209,US,NE,Nebraska,No,Extended,College,01/06/2011,Unemployed,F,0,Suburban,Single,97,19,18,0,1,Personal Auto,Personal L3,Collision,Agent,698.4,Four-Door Car,Small
ZD65365,US,IA,Iowa,No,Basic,College,2/13/11,Employed,F,28204,Suburban,Married,73,6,12,0,1,Personal Auto,Personal L3,Hail,Branch,486.987555,Four-Door Car,Medsize
IR78670,US,MO,Missouri,No,Premium,Bachelor,2/15/11,Unemployed,M,0,Suburban,Married,116,7,73,1,7,Personal Auto,Personal L3,Hail,Branch,556.8,Four-Door Car,Large
